iter	Passed	Remaining
0	1	159
1	2	146
2	4	142
3	5	133
4	7	139
5	8	140
6	10	138
7	12	138
8	14	145
9	16	144
10	17	144
11	19	143
12	21	141
13	22	141
14	24	139
15	25	133
16	26	127
17	27	123
18	27	119
19	28	114
20	29	111
21	30	107
22	31	103
23	31	100
24	32	97
25	33	93
26	33	90
27	34	88
28	34	85
29	35	82
30	36	80
31	37	78
32	37	76
33	38	74
34	39	72
35	39	71
36	40	69
37	41	67
38	42	65
39	42	64
40	43	62
41	43	60
42	44	58
43	44	57
44	45	55
45	46	54
46	46	52
47	47	51
48	48	50
49	49	49
50	49	47
51	50	46
52	51	45
53	52	44
54	52	43
55	53	42
56	54	40
57	54	39
58	55	38
59	56	37
60	56	36
61	57	35
62	58	34
63	58	33
64	59	31
65	60	30
66	60	29
67	61	28
68	61	27
69	62	26
70	63	25
71	63	24
72	64	23
73	65	22
74	65	21
75	66	20
76	67	20
77	68	19
78	68	18
79	69	17
80	70	16
81	71	15
82	71	14
83	72	13
84	73	12
85	73	11
86	74	11
87	74	10
88	75	9
89	76	8
90	76	7
91	77	6
92	77	5
93	78	5
94	79	4
95	79	3
96	80	2
97	81	1
98	82	0
99	82	0
